target,target_norm,hd,date,oifits_h,oifits_k,teff,logg,feh,theta_init,mass,alpha_svam_H_Stagger,alpha_svam_H_Stagger_err,alpha_svam_K_Stagger,alpha_svam_K_Stagger_err,p1_svam_H_Stagger,p1_svam_H_Stagger_err,p1_svam_K_Stagger,p1_svam_K_Stagger_err,alpha1_svam_H_Stagger,alpha1_svam_H_Stagger_err,alpha1_svam_K_Stagger,alpha1_svam_K_Stagger_err,alpha_svam_H_Kurucz,alpha_svam_H_Kurucz_err,alpha_svam_K_Kurucz,alpha_svam_K_Kurucz_err,p1_svam_H_Kurucz,p1_svam_H_Kurucz_err,p1_svam_K_Kurucz,p1_svam_K_Kurucz_err,alpha1_svam_H_Kurucz,alpha1_svam_H_Kurucz_err,alpha1_svam_K_Kurucz,alpha1_svam_K_Kurucz_err,alpha_svam_H_MPS1,alpha_svam_H_MPS1_err,alpha_svam_K_MPS1,alpha_svam_K_MPS1_err,p1_svam_H_MPS1,p1_svam_H_MPS1_err,p1_svam_K_MPS1,p1_svam_K_MPS1_err,alpha1_svam_H_MPS1,alpha1_svam_H_MPS1_err,alpha1_svam_K_MPS1,alpha1_svam_K_MPS1_err,alpha_svam_H_MPS2,alpha_svam_H_MPS2_err,alpha_svam_K_MPS2,alpha_svam_K_MPS2_err,p1_svam_H_MPS2,p1_svam_H_MPS2_err,p1_svam_K_MPS2,p1_svam_K_MPS2_err,alpha1_svam_H_MPS2,alpha1_svam_H_MPS2_err,alpha1_svam_K_MPS2,alpha1_svam_K_MPS2_err,alpha_svam_H_satlasross,alpha_svam_H_satlasross_err,alpha_svam_K_satlasross,alpha_svam_K_satlasross_err,p1_svam_H_satlasross,p1_svam_H_satlasross_err,p1_svam_K_satlasross,p1_svam_K_satlasross_err,alpha1_svam_H_satlasross,alpha1_svam_H_satlasross_err,alpha1_svam_K_satlasross,alpha1_svam_K_satlasross_err
109_Her,109_her,,2026-05-01,MIRC_L2.2026May01.109_Her.MIRCX_IDL.nc5.AVG10m.oifits,MYSTIC_L2.2026May01.109_Her.MIRCX_IDL.lbd_all.AVG10m.oifits,4387.0,2.24,-0.06,,1.05,0.2103529920563464,0.0006235257235517437,0.1624702864998524,0.0005034110034062843,0.9983202641871903,,0.9141704694962529,,0.2086719222606747,,0.17974407547099283,,0.2239770304742318,0.000641355913601131,0.18454647570136049,0.0005147372148057999,0.9985844472083467,,0.8764388294357814,,0.22107209680731774,,0.21422452584494528,,0.2368390977254904,0.0006167725993064234,0.1864932804062908,0.0004912783130156861,0.9988261862496227,,0.9128188813442003,,0.2348278004739504,,0.20671893308448958,,0.23663282253131285,0.0006164571057310707,0.18696810452035664,0.0004909509335551087,0.9988461203989214,,0.9127513833114282,,0.23461141466742855,,0.20726484758512387,,0.2502518887209442,0.0006120372213133769,0.20058059276412996,0.00048653267157441204,0.9990421386658731,,0.9091604847762069,,0.2479533294578001,,0.2233897769216713,
11_Lac,11_lac,,2025-07-25,MIRCX_L2.2025Jul25.11_Lac.MIRCX_IDL.2025Jul25.AVG15m.oifits,MYSTIC_L2.2025Jul25.11_Lac.MIRCX_IDL.2025Jul26.AVG15m.oifits,4310.0,1.93,-0.2,,1.38,0.21512457272559474,0.00031106309258041305,0.16499535080927089,0.00022226498669628545,0.9999999774226992,,0.9100245141554988,,0.21281238516527434,,0.18391235473494974,,0.2395405530081046,0.0003317850183006327,0.19306794760095697,0.00023911161389457872,0.9999999998080673,,0.873053819877128,,0.23593389529214395,,0.22591926186963177,,0.2441690441869313,0.00031387405989534526,0.19039112118472282,0.00022536175635776677,0.9999251982886794,,0.9069093181015199,,0.24157281728726968,,0.21314732347731954,,0.2439891003988022,0.0003131789585009539,0.19077856921381223,0.00022499102457854893,0.9998516211004391,,0.9078852669342615,,0.24143299774758373,,0.21331380877510944,,0.2620701132016257,0.00030788342720339127,0.20671925906738228,0.00022199942442766534,0.8122390720382641,,0.704097872995145,,0.3231685411941579,,0.3014377163291593,
alf_Cas,alf_cas,,2025-07-20,MIRCX_L2.2025Jul20.alf_Cas.MIRCX_IDL.2025Jul22.AVG15m.oifits,MYSTIC_L2.2025Jul20.alf_Cas.MIRCX_IDL.2025Jul25.AVG15m.oifits,4625.0,1.19,-0.1,,3.98,0.19970981065299673,0.0009436274590541776,0.15574389495956878,0.00046486933608926994,0.9999999995137616,,0.9203623144024862,,0.1964836415137535,,0.17012809699100104,,0.19973183801297356,0.0009333898824053802,0.1677262787711207,0.00046001753512710724,0.9995314581228697,,0.8922503405176583,,0.19529530550737484,,0.18949120874183,,0.21073169008061154,0.0009351365319434873,0.16952684230274886,0.0004548042923937281,0.9999971447153232,,0.9134784793222771,,0.20704151298841095,,0.186742819625566,,0.21046174475363089,0.0009324332431380233,0.1696994368909182,0.00045411644515594895,1.0,,0.914390740834515,,0.2068239411225063,,0.18673380900427639,,0.22579064344649266,0.0009426433897917785,0.1808974079695605,0.0004542251503343013,0.7598693285855171,,0.6409378912962108,,0.2969439323183603,,0.2908125161861498,
alf_CMi,alf_cmi,,2026-04-04,MIRC_L2.2026Apr04.alf_CMi.MIRCX_IDL.Hband.AVG10m.oifits,MYSTIC_L2.2026Apr04.alf_CMi.MIRCX_IDL.2026Apr04_first.AVG10m.oifits,6570.0,4.04,-0.04,,1.478,0.1126046033344062,0.0010491539529464498,0.09996764764800961,0.0005170714408397931,0.9999999999993199,,0.8909679374603521,,0.10997498831181346,,0.1130630280527669,,0.11692580108155784,0.001043331944917143,0.10631802846337686,0.0005099880747310181,1.0,,0.901855297655351,,0.11453991624500535,,0.11869218678590125,,0.11266219728179266,0.001046793172851995,0.10010403653943468,0.0005143188138052023,0.9999999999999991,,0.9136721138832669,,0.11059482269855969,,0.11021831085967705,,0.11540087911586373,0.0010433607011844516,0.10192987340448807,0.0005112882226523247,0.9999999997719307,,0.9152068181420023,,0.11335904472440485,,0.11202005133221925,,0.1487203430957525,0.001072679879614063,0.13376731054067004,0.0005069103552474123,0.8017034468740281,,0.6536869822289232,,0.18148512242675374,,0.20923382539124552,
alf_Per,alf_per,,2025-07-25,MIRCX_L2.2025Jul25.alf_Per.MIRCX_IDL.2025Jul25.AVG15m.oifits,MYSTIC_L2.2025Jul25.alf_Per.MIRCX_IDL.2025Jul26.AVG15m.oifits,6193.0,1.02,0.14,,7.3,0.13318693344491783,0.00020360929172792903,0.11289260731330143,0.00014534131288930453,0.9999341939272535,,0.9303912442946597,,0.13143253289377202,,0.12245081089873645,,0.14530238108946028,0.00020860938596011492,0.12619299368794476,0.00014864330201767043,0.9997145165344395,,0.9161505900706277,,0.14312696416030685,,0.13923636142202087,,0.13327672990489428,0.0001999195126590526,0.11271241328739783,0.0001422715832847789,0.9979020688849144,,0.9484941601698319,,0.13230466177090008,,0.11959886589095536,,0.13618000127486965,0.00020049348076778286,0.11494790853838278,0.00014279288621358625,0.9999960641801735,,0.9463598015633999,,0.13481284345769584,,0.12231111558462056,,0.17075047421253559,0.00021136870471727472,0.14197238800028675,0.0001502662215998682,0.9157713824377569,,0.820078195421105,,0.18397440432652856,,0.1754846670832013,
alf_Vul,alf_vul,,2026-05-01,MIRC_L2.2026May01.alf_Vul.MIRCX_IDL.nc5.AVG10m.oifits,MYSTIC_L2.2026May01.alf_Vul.MIRCX_IDL.lbd_all.AVG10m.oifits,3690.0,1.3,-0.38,,0.97,0.2673345963933835,0.0007724947992093805,0.1957398025274485,0.0005678369474244531,0.9999999999986027,,0.9710317497026152,,0.26600656119666,,0.20213430506199356,,0.19818589282260327,0.0008194755346911806,0.15220798965059135,0.0005923011389767777,0.5934150126838028,,0.5001271794856135,,0.34323255076412434,,0.31565758170565206,,0.28795775179516603,0.0007686875223643149,0.23654323421531587,0.0005739919807970786,0.999999993952805,,0.9796923295987726,,0.28686027322565977,,0.24195294066890946,,0.2856962398731302,0.0007681948330499847,0.23281048060410428,0.00057320083396202,0.9999999819935291,,0.980024169060747,,0.2846332223728277,,0.23804199975640902,,0.30168764731213643,0.000758406518728554,0.227134216290817,0.0005618164688905857,0.8401297828089859,,0.7512604216331495,,0.3602015915252982,,0.30778145806245627,
bet_Dra,bet_dra,,2026-03-23,MIRC_L2.2026Mar23.bet_Dra.MIRCX_IDL.nc5_lbd_clean_2026Mar23.AVG15m.oifits,MYSTIC_L2.2026Mar23.bet_Dra.MIRCX_IDL.nc5_lbd_clean_2026Mar24.AVG15m.oifits,5184.0,1.66,0.06,,6.0,0.17227376264488461,0.00043459086064459145,0.13599535565337473,0.00037582552730598955,0.9980293730047108,,0.919027205541241,,0.17043689347871802,,0.1498369543610238,,0.18700683687171127,0.000465352211121159,0.15829066328791871,0.00039311701545199587,1.0,,0.8909645653733205,,0.18365884803828428,,0.1806905609864874,,0.18389217201781904,0.0004381512709533151,0.15040317566658323,0.00037303945857557864,0.9999827294680644,,0.9208658897444464,,0.18155764581174766,,0.16532616997160332,,0.18519134585286096,0.00043713117786430965,0.1519197315124647,0.00037157336462280134,0.9999996716690406,,0.9213244566762999,,0.18285379715699918,,0.16689392064155378,,0.2042647926472403,0.0004688863356303908,0.17094473342061567,0.0003924504987855686,0.9608037409108012,,0.8371163491093356,,0.20868359781468077,,0.20838817644300187,
del_And,del_and,,2025-09-07,MIRCX_L2.2025Sep07.del_And.MIRCX_IDL.2025Sep10_Narsi.AVG10m.oifits,MYSTIC_L2.2025Sep07.del_And.MIRCX_IDL.2025Sep08_Narsi.AVG10m.oifits,4347.0,2.04,0.21,,1.3,0.20329433139921163,0.0005891362867849052,0.15825109202528195,0.0004265228396558226,0.9999998428750474,,0.9559672584245414,,0.20205589570355356,,0.16641757552743547,,0.24245694614933708,0.0005789676476756033,0.19496792116478037,0.00041678967706334656,0.9999999735730272,,0.922030874296516,,0.2398302967874702,,0.2135702033542908,,0.24571762804797317,0.0005710775556517026,0.19139595292861575,0.00040971755739633393,1.0,,0.9476429179802391,,0.24397341825203714,,0.20327979851131855,,0.24532085650739635,0.0005708934403120024,0.19160288974132197,0.0004098531473601361,0.9999999999999989,,0.9478121230831887,,0.24358244865905962,,0.20345967300266313,,0.2501774181177098,0.0005717727063499198,0.19743393232909287,0.0004108051460338633,0.9775411987974854,,0.8871698599591523,,0.25312905544841985,,0.22533653735183845,
del_Boo,del_boo,,2026-05-01,MIRC_L2.2026May01.del_Boo.MIRCX_IDL.nc5.AVG10m.oifits,MYSTIC_L2.2026May01.del_Boo.MIRCX_IDL.lbd_all.AVG10m.oifits,4880.0,2.48,-0.36,,1.5,0.18913714476985902,0.000533027702224516,0.15254693517657306,0.00046323743810823103,0.9999999049402134,,0.9310467599218736,,0.18766355745582808,,0.16561727790713265,,0.19059767129341298,0.00054261102297734,0.16163634617193398,0.0004721249316080463,0.9999999919740049,,0.9002577590802409,,0.18840380513764868,,0.1824272117424479,,0.1959549576638745,0.0005301782186517252,0.15932277417185814,0.00046078799915740096,0.999999940921979,,0.9263785086613574,,0.19433943517931254,,0.1739779238448592,,0.19714206836665868,0.0005288554729955124,0.16069383867417644,0.0004599210233891759,0.9999996265763207,,0.9282157676221029,,0.19555949768223804,,0.17507462974361437,,0.2219776358010338,0.0005274932450018849,0.18312656399849203,0.0004593163056592342,0.9545907861770248,,0.8613665614909117,,0.23057664434085356,,0.21599587298004214,
eps_Gem,eps_gem,,2025-09-09,MIRC_L2.2025Sep09.eps_Gem.MIRCX_IDL.2025Sep10_Narsi.AVG10m.oifits,MYSTIC_L2.2025Sep09.eps_Gem.MIRCX_IDL.2025Sep10_Narsi.AVG10m.oifits,4315.0,0.76,0.11,,5.29,0.2582803716550417,0.0005727918140865044,0.18784988235745423,0.0004341697290026182,0.999908358762954,,0.9722847013331896,,0.2573884879492985,,0.1938181930825599,,0.2362491289779224,0.0005705334156084069,0.1874665759054985,0.0004379365182316268,0.9999994948974387,,0.9227496717728789,,0.23376423671799748,,0.20511659867676035,,0.23934139207095737,0.0005746201561163491,0.18404178063268084,0.0004395524125189566,0.9999414559573153,,0.9472648726260734,,0.23767324523351216,,0.19551694898782687,,0.2385284521307596,0.0005723611181661724,0.18412018583239453,0.00043804680627581135,0.9999527772205458,,0.9440127385676297,,0.23675537685445971,,0.19635633806668565,,0.24968734186118685,0.0005538850486901782,0.19005893059395104,0.00042282839048357347,0.9988495605772808,,0.9285394698405156,,0.24766823729686202,,0.20645428659735368,
