#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-05-10T19:03:50 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-05-10T19:03:51	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.add=_1&-c.r=  2&-c.geom=r&-source=I/352/gedr3dis&-order=I&-out.orig=standard&-out=Source&-out=RA_ICRS&-out=DE_ICRS&-out=rgeo&-out=b_rgeo&-out=B_rgeo&-out=rpgeo&-out=b_rpgeo&-out=B_rpgeo&-out=Flag&-out.max=unlimited&-c.eq=J2000&-c.u=arcmin&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable
#INFO	header_format=mini	
#INFO	header_format=mini	

#RESOURCE=yCat_1352
#Name: I/352
#Title: Distances to 1.47 billion stars in Gaia EDR3 (Bailer-Jones+, 2021)
#INFO	ivoid=ivo://cds.vizier/i/352	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/i/352	    IVOID of underlying data collection
#INFO	creator=Bailer-Jones C.A.L.	    First author or institution
#INFO	cites=bibcode:2021AJ....161..147B	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2021	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/I/352	    Dataset landing page
#INFO	publication_date=2024-01-08	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	I_352_gedr3dis:
#Name: I/352/gedr3dis
#Title: Estimating distances from parallaxes (1467744818 sources)
#Column	_1	(A40)	The original question (from your input file)	[ucd=meta.id]
#Column	Source	(I19)	Source identifier, identical to the Gaia-EDR3 source_id (id)	[ucd=meta.id;meta.main]
#Column	RA_ICRS	(F15.11)	Barycentric right ascension (ICRS) at Ep=2016.0 (ra)	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F15.11)	Barycentric declination (ICRS) at Ep=2016.0 (dec)	[ucd=pos.eq.dec;meta.main]
#Column	rgeo	(F15.8)	? Median of the geometric distance posterior (r_med_geo)	[ucd=pos.distance;stat.mean]
#Column	b_rgeo	(F14.8)	? 16th percentile of the geometric distance posterior (r_lo_geo)	[ucd=pos.distance;stat.min]
#Column	B_rgeo	(F14.8)	? 84th percentile of the geometric distance posterior (r_hi_geo)	[ucd=pos.distance;stat.max]
#Column	rpgeo	(F15.8)	? Median of the photogeometric distance posterior (r_med_photogeo)	[ucd=pos.distance;stat.mean]
#Column	b_rpgeo	(F14.8)	? 16th percentile of the photogeometric distance posterior (r_lo_photogeo)	[ucd=pos.distance;stat.min]
#Column	B_rpgeo	(F14.8)	? 84th percentile of the photogeometric distance posterior (r_hi_photogeo)	[ucd=pos.distance;stat.max]
#Column	Flag	(I5)	Flag (flag) (1)	[ucd=meta.code]
_1	Source	RA_ICRS	DE_ICRS	rgeo	b_rgeo	B_rgeo	rpgeo	b_rpgeo	B_rpgeo	Flag
 	 	deg	deg	pc	pc	pc	pc	pc	pc	
----------------------------------------	-------------------	---------------	---------------	---------------	--------------	--------------	---------------	--------------	--------------	-----
HD 3627                                 	2858626710621547648	009.82335058784	+30.84179559616	   798.35730000	  690.63958700	  957.30957000	   917.12860100	  793.07470700	 1051.32654000	10033
HD 3627                                 	2858626813700229120	009.83668495250	+30.83721659050	  1310.71265000	 1081.67664000	 1570.32532000	  1602.71155000	 1417.23938000	 1817.41443000	10033
HD 3627                                 	2858626813700542720	009.82866060637	+30.84731026475	  3863.41284000	 2682.67944000	 5827.05664000	  3943.96362000	 3225.51660000	 4973.16602000	10033
HD 3627                                 	2858626813700762624	009.82790774215	+30.84380162748	  1047.39404000	 1014.37982000	 1084.41138000	  1043.46936000	 1014.54578000	 1087.88892000	10033
HD 3627                                 	2858626848059963520	009.84332447260	+30.85828737945	   581.65490700	  572.30810500	  591.77728300	   582.63842800	  574.33422900	  590.98034700	10033
HD 3627                                 	2858628252515496448	009.86292280020	+30.85833534433	   757.85064700	  714.54730200	  815.02099600	   747.83569300	  705.69372600	  792.02819800	10033
HD 3627                                 	2858628256809239424	009.86182213222	+30.84752100319	  2263.94043000	 1761.61084000	 3159.42505000	  4346.39551000	 3652.28564000	 5459.07422000	10033
HD 3627                                 	2858628355594711680	009.86542904566	+30.87394071766	   397.39578200	  360.99548300	  444.93420400	   428.87121600	  390.94891400	  464.17239400	10033
HD 3627                                 	2858628359888713088	009.85706589481	+30.87379890660	   365.38702400	  274.65374800	  489.18640100	   334.45382700	  272.93698100	  397.53710900	20121
HD 3627                                 	2858629665559047424	009.81296005112	+30.83711992991	   779.55780000	  722.73138400	  853.68725600	   889.18725600	  817.30688500	  975.52002000	10033
HD 3627                                 	2858629734278523264	009.80456846973	+30.85031752693	   845.19091800	  773.89325000	  909.62921100	   878.86645500	  807.60656700	  945.12103300	10033
HD 3627                                 	2858629802997575936	009.82443713390	+30.86445837766	    32.31131740	   32.28313830	   32.34720990	    32.31431580	   32.28271100	   32.35100560	10033
HD 3627                                 	2858629802998456576	009.83259531268	+30.86050281776	    31.59598920	   31.08138470	   32.00193020	    31.76093290	   31.34416200	   32.21079640	10033
HD 3627                                 	2858629837357199616	009.80997935694	+30.85936612033	  1355.04199000	 1126.70996000	 1680.83630000	  1461.92725000	 1303.29456000	 1639.29956000	10033
HD 3627                                 	2858629871716934528	009.81179151012	+30.87676898163	  3438.93359000	 2032.95239000	 4745.55664000	  6054.75195000	 5152.94678000	 7259.85938000	10033
HD 3627                                 	2858630043515628288	009.80474538313	+30.87127896062	  2832.03809000	 1926.88110000	 4034.84790000	  7013.87891000	 5721.56836000	 8133.57861000	10033
HD 3627                                 	2858630073581628288	009.80928859610	+30.88154925029	   325.72665400	  318.19915800	  333.24871800	   322.51229900	  315.34564200	  332.10897800	10033
HD 3627                                 	2858631314825945856	009.84752237347	+30.88552674573	   871.86932400	  679.53302000	 1214.08569000	   910.42773400	  769.77392600	 1062.95642000	10033

HD 3712                                 	 418551336165042944	010.16119543740	+56.51240543879	  2893.69971000	 1936.43140000	 4413.98828000	  4111.12598000	 3628.51978000	 4704.76123000	10033
HD 3712                                 	 418551336168089344	010.15210867600	+56.51478126990	  4193.43213000	 2715.26538000	 6073.48486000	  2542.59180000	 2222.67798000	 3012.51416000	10033
HD 3712                                 	 418551473602895360	010.09276935194	+56.51635653585	  1377.61389000	  839.11126700	 2254.62598000	  2567.42432000	 2277.99121000	 2897.70410000	10033
HD 3712                                 	 418551473602900736	010.10060899311	+56.51198342340	  2874.55103000	 1513.01648000	 4052.51074000	  4278.61230000	 3721.29883000	 5269.59570000	10033
