target,date,oifits_h,oifits_k,teff,logg,feh,mass,theta_init,theta_CLV_Stagger,theta_CLV_Stagger_err,v2_0_CLV_Stagger,v2_0_CLV_Stagger_err,chi2_red_CLV_Stagger,theta_CLV_Kurucz,theta_CLV_Kurucz_err,v2_0_CLV_Kurucz,v2_0_CLV_Kurucz_err,chi2_red_CLV_Kurucz,theta_CLV_MPS1,theta_CLV_MPS1_err,v2_0_CLV_MPS1,v2_0_CLV_MPS1_err,chi2_red_CLV_MPS1,theta_CLV_MPS2,theta_CLV_MPS2_err,v2_0_CLV_MPS2,v2_0_CLV_MPS2_err,chi2_red_CLV_MPS2
alf_Vul,2026May01,MIRC_L2.2026May01.alf_Vul.MIRCX_IDL.nc5.AVG10m.oifits,MYSTIC_L2.2026May01.alf_Vul.MIRCX_IDL.lbd_all.AVG10m.oifits,3690.0,1.3,-0.38,0.97,4.0,4.357835485170809,0.0020956596972254715,1.06053508103767,0.00893884360938435,1.558141604066376,4.333735375605637,0.0030274930872344896,1.0305747805168175,0.008605292590132652,2.4833345362728876,4.380456440719081,0.0038236201409480586,1.0851887334420103,0.010869194367285395,1.8823394465679801,4.378067187432327,0.00453404827206727,1.0849683958629361,0.010203901593222486,1.8370706319589212
109_Her,2026May01,MIRC_L2.2026May01.109_Her.MIRCX_IDL.nc5.AVG10m.oifits,MYSTIC_L2.2026May01.109_Her.MIRCX_IDL.lbd_all.AVG10m.oifits,4387.0,2.24,-0.06,1.05,3.0,3.002655044366982,0.002678744986657877,1.0046062420046529,0.00925425279786124,2.321406592111614,3.0126119081506157,0.002475182432227996,1.0083310489713555,0.010198678510806247,2.566546052670853,3.0139779701505356,0.002109036751464677,1.0145319369892158,0.00699203662533876,2.43722016250739,3.014448720115927,0.002142097909668239,1.017413554774019,0.010181101312405239,2.448288346125921
del_Boo,2026May01,MIRC_L2.2026May01.del_Boo.MIRCX_IDL.nc5.AVG10m.oifits,MYSTIC_L2.2026May01.del_Boo.MIRCX_IDL.lbd_all.AVG10m.oifits,4880.0,2.48,-0.36,1.5,3.0,2.7737114934805716,0.001352997531173239,1.0647557727919157,0.0046784741992080825,1.6283242301849878,2.77751604738443,0.0017594542029293336,1.068221204553283,0.006910893222537684,1.782758315755781,2.776882677207046,0.001283294424835768,1.0661860397061003,0.004489127285813077,1.6653760161684126,2.777685762749617,0.0014260669557231154,1.0669347326596037,0.005632045776758354,1.6758383346842942
eta_Ser,2026May01,MIRC_L2.2026May01.eta_Ser.MIRCX_IDL.nc5.AVG10m.oifits,MYSTIC_L2.2026May01.eta_Ser.MIRCX_IDL.lbd_all.AVG10m.oifits,4948.0,3.18,-0.19,1.6,3.0,2.991568464129829,0.0019219578199611842,1.1404474902037451,0.006794005712130624,1.9826286256951147,2.9966896996345445,0.002127525994435997,1.1463157171431622,0.0073444123568707775,2.1874256726417998,2.9955807529053016,0.0019736550495170757,1.1450727202088493,0.00581327901955242,2.0055560313921466,2.99678664953697,0.0026457175798118016,1.1492894408866392,0.00594725900822024,2.0191217578464964
lam_Her,2026May01,MIRC_L2.2026May01.lam_Her.MIRCX_IDL.nc5.AVG10m.oifits,MYSTIC_L2.2026May01.lam_Her.MIRCX_IDL.lbd_all.AVG10m.oifits,4070.0,1.89,-0.04,1.18,3.0,3.129246227377725,0.001224320233232934,1.071309627315859,0.008906094595855563,1.9075345108161945,3.1306019412824613,0.0013527134765511928,1.071843498596857,0.008505571447363303,2.08534487294918,3.132881057829824,0.0015787580352539798,1.0701286755628172,0.011229574054294367,2.0254589485524583,3.1328874237172983,0.0014797080380373195,1.0757206547921672,0.011113272049295575,2.0228863164924187
rho_Ser,2026May01,MIRC_L2.2026May01.rho_Ser.MIRCX_IDL.nc5.AVG10m.oifits,MYSTIC_L2.2026May01.rho_Ser.MIRCX_IDL.lbd_all.AVG10m.oifits,3920.0,1.68,-0.17,nan,3.0,3.386177879735053,0.0015069375584344513,1.128252906231093,0.004099239314587555,2.183298755442438,3.3838555960576784,0.0013326786861864726,1.1236449217153586,0.0060655176570409974,2.380840789793701,3.3938712583152135,0.0015926063248830058,1.1355861550171438,0.0065475866310736874,2.345760557872484,3.3941589581505935,0.0011570188654046465,1.1364297580719018,0.005454341345544789,2.3301085437337496
ups_Per,2025Oct20,MIRC_L2.2025Oct20.ups_Per.MIRCX_IDL.2025Dec14.AVG10m.oifits,MYSTIC_L2.2025Oct20.ups_Per.MIRCX_IDL.2025Dec14.AVG10m.oifits,4374.0,2.06,0.05,1.75,4.0,3.6144290976416844,0.0023645617636021132,0.9965195377918235,0.007764658254831247,3.692197002282557,3.6282419433120694,0.002841067829221,1.0163834606960758,0.007011086120546239,3.6434891946313734,3.6257518315080004,0.003107378207611644,1.0121405987814431,0.00654636549719767,3.4413734349052967,3.6244697994677697,0.0024754101228381398,1.0123567267207152,0.009312819537285688,3.46178406448114
ksi_Dra,2026Mar23,MIRC_L2.2026Mar23.ksi_Dra.MIRCX_IDL.nc5_lbd_clean_2026Mar23.AVG15m.oifits,MYSTIC_L2.2026Mar23.ksi_Dra.MIRCX_IDL.nc5_lbd_clean_2026Mar24.AVG15m.oifits,4504.0,2.31,-0.01,1.45,3.0,3.082937431586656,0.0011948015374412257,1.076549962247435,0.006535896671963748,1.341669921053355,3.086682896305442,0.0012923969601537078,1.0855227032828645,0.008357259341666423,1.397223538826519,3.087308828837119,0.0012549582355345645,1.0856028761675414,0.004963724983417239,1.304615036897945,3.0869235940838835,0.001643811454340005,1.0854152630135196,0.005643996688621367,1.3102972992291677
bet_Dra,2026Mar23,MIRC_L2.2026Mar23.bet_Dra.MIRCX_IDL.nc5_lbd_clean_2026Mar23.AVG15m.oifits,MYSTIC_L2.2026Mar23.bet_Dra.MIRCX_IDL.nc5_lbd_clean_2026Mar24.AVG15m.oifits,5184.0,1.66,0.06,6.0,3.0,3.361115992056636,0.0013458783120758877,1.0988447718041099,0.011305923624600256,2.3457087849869036,3.369755677860171,0.001511462954654652,1.1119059832475116,0.013359568660982535,2.5259697873830853,3.367457865152155,0.0013602783333939161,1.1087732108580635,0.0075908926355564565,2.4564549312523005,3.3681413762899273,0.0016350056551008851,1.1071181311940812,0.01216343306205836,2.470630188639544
alf_CMi,2026Apr04,MIRC_L2.2026Apr04.alf_CMi.MIRCX_IDL.Hband.AVG10m.oifits,MYSTIC_L2.2026Apr04.alf_CMi.MIRCX_IDL.2026Apr04_first.AVG10m.oifits,6570.0,4.04,-0.04,1.478,6.0,5.452042273600851,0.0021093656260346982,1.0377968253210912,0.003676907206398017,2.693975338379361,5.4574532903281,0.0017844749185758069,1.0429957047737668,0.004524411560671182,2.740819993806721,5.454424480726375,0.0018042133634903479,1.039500579770968,0.0040977017510445135,2.711367382846619,5.454366698793484,0.0018884193530230853,1.0406896004437303,0.0045509647756758476,2.711911645735765
109_Her,2026Apr04,MIRC_L2.2026Apr04.109_Her.MIRCX_IDL.Hband.AVG10m.oifits,MYSTIC_L2.2026Apr04.109_Her.MIRCX_IDL.2026Apr04_first.AVG10m.oifits,4387.0,2.24,-0.06,1.05,3.0,3.0055088032172,0.0013460105840423786,1.0197645814262248,0.0069110587287590786,2.6246081892956528,3.016159483894775,0.0014061820936071001,1.029785694548003,0.006994935217171205,2.6747555660698206,3.017010559033241,0.0009835942137241815,1.0312574939604882,0.009189256352747699,2.5262004860779967,3.01718837800355,0.0014404649808712477,1.0324424200894273,0.0063192241909565405,2.5343500516530884
alf_Vul,2026Apr04,MIRC_L2.2026Apr04.alf_Vul.MIRCX_IDL.Hband.AVG10m.oifits,MYSTIC_L2.2026Apr04.alf_Vul.MIRCX_IDL.2026Apr04_first.AVG10m.oifits,3690.0,1.3,-0.38,0.97,4.0,4.366195846645516,0.0014908442831162994,1.024666540044242,0.008460257735771304,2.54166471237121,4.344069583767375,0.0019963517730010594,0.9874171903727575,0.009180936873799339,3.644679563948119,4.387133067167893,0.003916188802725262,1.0532888931667599,0.009040652333436316,2.620244836163925,4.385918215912462,0.0021634968574790747,1.0528156991884607,0.008757943993765505,2.5821782164981864
del_Boo,2026Apr04,MIRC_L2.2026Apr04.del_Boo.MIRCX_IDL.Hband.AVG10m.oifits,MYSTIC_L2.2026Apr04.del_Boo.MIRCX_IDL.2026Apr04_first.AVG10m.oifits,4880.0,2.48,-0.36,1.5,3.0,2.7742627954135695,0.0009536937176251037,1.0880050750767558,0.006070672161238022,1.6910154349561366,2.7784056011576794,0.0010380211335834222,1.0934847326203618,0.004018110371987738,1.8123915462497597,2.777927749236677,0.0009954873386961438,1.0924349321737952,0.004571243958863103,1.7007676805926473,2.7785636943249594,0.001270816695655208,1.0928548263518998,0.005072499716807344,1.708279332347425
eps_Leo,2026Apr04,MIRC_L2.2026Apr04.eps_Leo.MIRCX_IDL.Hband.AVG10m.oifits,MYSTIC_L2.2026Apr04.eps_Leo.MIRCX_IDL.2026Apr04_first.AVG10m.oifits,5576.0,2.34,-0.09,3.71,3.0,2.6866152404705126,0.0012898169999946418,1.1305363241526478,0.004262303272198009,1.1526660495875458,2.6934151320256987,0.0016271444205580021,1.139364860092102,0.005808069654792525,1.2878111071243066,2.688815565261835,0.001564100533240964,1.1315634967443025,0.005157575236215184,1.1747720084667472,2.688381618740479,0.0014531960069892325,1.133267917680407,0.004888505481415173,1.1808862522274675
eps_Vir,2026Apr04,MIRC_L2.2026Apr04.eps_Vir.MIRCX_IDL.Hband.AVG10m.oifits,MYSTIC_L2.2026Apr04.eps_Vir.MIRCX_IDL.2026Apr04_first.AVG10m.oifits,5190.0,1.86,0.0,6.0,3.0,3.2437116327404656,0.0018900710953748678,1.0658266959015372,0.010865080306303287,2.3471668051576695,3.25288902005539,0.001377091207108938,1.072015716283172,0.007979599118650982,2.441736649509194,3.2508183430649766,0.00170648252050154,1.0732436473174862,0.008323525415679267,2.4062166098231055,3.251004019009825,0.0016778663207961397,1.0714368343613603,0.00842639656774713,2.4178563169976592
eta_Boo,2026Apr04,MIRC_L2.2026Apr04.eta_Boo.MIRCX_IDL.Hband.AVG10m.oifits,MYSTIC_L2.2026Apr04.eta_Boo.MIRCX_IDL.2026Apr04_first.AVG10m.oifits,5901.0,3.78,0.25,1.71,3.0,2.235104135425594,0.001587573601590453,1.023232421095833,0.009073605568620913,2.2562658584851407,2.2392226245708424,0.0018128373625296845,1.0257788662590732,0.009285906684532774,2.3411622783361845,2.238986554445387,0.0012752550642174398,1.0262053644835092,0.00822817470576176,2.2835992635920155,2.2393317658754492,0.0014744936592618885,1.024492698660588,0.006659139897979616,2.2796537994068227
eta_Cyg,2026Apr04,MIRC_L2.2026Apr04.eta_Cyg.MIRCX_IDL.Hband.AVG10m.oifits,MYSTIC_L2.2026Apr04.eta_Cyg.MIRCX_IDL.2026Apr04_first.AVG10m.oifits,4770.0,2.64,0.02,0.9,2.0,2.2888351724934766,0.0016508788788907047,0.9730542662098982,0.009290513964511693,2.3331027487281033,2.299709961433305,0.0012460770796736131,0.9854927564031967,0.00853651499651159,2.273647173915965,2.2972564901011787,0.001265027753882153,0.9829224958133376,0.007165130008904175,2.1136029071744864,2.2972289990604544,0.001280748660986708,0.9827648098718391,0.008501861223689955,2.119626843097507
lam_Her,2026Apr04,MIRC_L2.2026Apr04.lam_Her.MIRCX_IDL.Hband.AVG10m.oifits,MYSTIC_L2.2026Apr04.lam_Her.MIRCX_IDL.2026Apr04_first.AVG10m.oifits,4070.0,1.89,-0.04,1.18,3.0,3.130315377981284,0.0020869731443218242,1.0409410699384942,0.006966477755212752,1.7602860716064814,3.1308422210457563,0.002362107139128211,1.0421183535542253,0.006600869442588753,2.017633242770784,3.1326201727691667,0.002543707363238612,1.0427937964895562,0.006698823039767432,1.8726563010081345,3.1330972149782825,0.0024124396346336674,1.0432104574293644,0.005033081904087466,1.8773912687626548
mu._Leo,2026Apr04,MIRC_L2.2026Apr04.mu._Leo.MIRCX_IDL.Hband.AVG10m.oifits,MYSTIC_L2.2026Apr04.mu._Leo.MIRCX_IDL.2026Apr04_first.AVG10m.oifits,4433.0,2.5,0.25,1.5,3.0,2.869190659682122,0.0021100789327259672,1.0467279204597542,0.005515807421047625,1.3414509431764705,2.8757895664854303,0.0022959219030396216,1.0565533862741496,0.006743562034916439,1.4663428763300075,2.876944672800333,0.0020930515426413887,1.0563378039326863,0.004669918482492208,1.362648512258189,2.8772589200141905,0.0021825062135287787,1.0569761941622875,0.0063540582481783625,1.3721810822436755
