oifits_h,oifits_k,target,date,instrument,teff,logg,feh,v2_0_SATLAS,theta_CLV_SATLAS,theta_CLV_SATLAS_err,chi2_red_SATLAS,v2_0_ud,theta_ud_H,theta_ud_H_err,theta_ud_K,theta_ud_K_err,chi2_red_ud,v2_0_PL,theta_PL,theta_PL_err,alpha_chara_H,alpha_chara_H_err,alpha_chara_K,alpha_chara_K_err,chi2_red_PL,v2_0_power2,theta_power2,theta_power2_err,alpha1_chara_H,alpha1_chara_H_err,alpha1_chara_K,alpha1_chara_K_err,p1_chara_H,p1_chara_H_err,p1_chara_K,p1_chara_K_err,chi2_red_power2,v2_0_linear,theta_linear,theta_linear_err,a_chara_H,a_chara_H_err,a_chara_K,a_chara_K_err,chi2_red_linear,v2_0_quadratic,theta_quadratic,theta_quadratic_err,u1_chara_H,u1_chara_H_err,u1_chara_K,u1_chara_K_err,u2_chara_H,u2_chara_H_err,u2_chara_K,u2_chara_K_err,chi2_red_quadratic
MIRC_L2.2026May01.alf_Vul.MIRCX_IDL.nc5.AVG10m.oifits,MYSTIC_L2.2026May01.alf_Vul.MIRCX_IDL.lbd_all.AVG10m.oifits,alf_Vul,2026-05-01,MIRCX+MYSTIC,3690.000,1.300,-0.380,1.098,4.344,0.004,1.100,0.917,4.209,0.016,4.244,0.010,8.554,1.057,4.356,0.006,0.291,0.010,0.186,0.013,1.112,1.021,4.350,0.094,0.068,0.339,0.000,0.221,1.552,2.328,1.048,1.941,0.980,1.056,4.309,0.005,0.369,0.017,0.229,0.016,0.986,1.068,4.348,0.007,0.178,0.046,0.121,0.023,0.351,0.068,0.258,0.030,0.726
MIRC_L2.2026May01.109_Her.MIRCX_IDL.nc5.AVG10m.oifits,MYSTIC_L2.2026May01.109_Her.MIRCX_IDL.lbd_all.AVG10m.oifits,109_Her,2026-05-01,MIRCX+MYSTIC,4387.000,2.240,-0.060,1.039,3.008,0.002,2.322,0.904,2.909,0.009,2.910,0.004,6.016,1.008,2.999,0.007,0.208,0.013,0.152,0.013,1.649,0.994,2.972,0.018,1.006,0.807,0.173,0.607,0.253,0.133,0.229,0.317,145.584,0.999,2.969,0.006,0.263,0.018,0.180,0.015,1.689,1.005,3.000,0.009,0.158,0.040,0.019,0.059,0.257,0.069,0.378,0.098,1.534
MIRC_L2.2026May01.del_Boo.MIRCX_IDL.nc5.AVG10m.oifits,MYSTIC_L2.2026May01.del_Boo.MIRCX_IDL.lbd_all.AVG10m.oifits,del_Boo,2026-05-01,MIRCX+MYSTIC,4880.000,2.480,-0.360,1.094,2.770,0.001,1.759,0.973,2.689,0.012,2.692,0.003,4.102,1.057,2.766,0.006,0.175,0.011,0.131,0.011,1.304,1.046,2.776,0.061,0.016,0.415,0.015,0.082,1.243,2.016,1.823,2.790,277.935,1.056,2.741,0.004,0.221,0.012,0.158,0.012,1.086,1.057,2.774,0.008,0.101,0.033,-0.092,0.031,0.324,0.072,0.551,0.061,0.875
MIRC_L2.2026May01.eta_Ser.MIRCX_IDL.nc5.AVG10m.oifits,MYSTIC_L2.2026May01.eta_Ser.MIRCX_IDL.lbd_all.AVG10m.oifits,eta_Ser,2026-05-01,MIRCX+MYSTIC,4948.000,3.180,-0.190,1.173,2.997,0.002,1.820,1.053,2.888,0.007,2.908,0.003,4.740,1.140,2.986,0.004,0.181,0.009,0.130,0.009,1.099,1.132,2.944,0.011,1.952,1.135,2.977,4.891,0.141,0.044,0.086,0.058,1.123,1.139,2.958,0.003,0.229,0.010,0.157,0.009,0.977,1.143,2.976,0.006,0.136,0.043,0.068,0.031,0.204,0.076,0.208,0.044,1.030
MIRC_L2.2026May01.lam_Her.MIRCX_IDL.nc5.AVG10m.oifits,MYSTIC_L2.2026May01.lam_Her.MIRCX_IDL.lbd_all.AVG10m.oifits,lam_Her,2026-05-01,MIRCX+MYSTIC,4070.000,1.890,-0.040,1.093,3.126,0.002,2.385,0.935,3.015,0.018,3.022,0.006,7.552,1.053,3.113,0.005,0.224,0.015,0.155,0.013,1.357,1.041,3.177,0.051,0.084,0.100,0.042,0.046,3.073,1.824,4.015,2.292,1.480,1.050,3.082,0.006,0.284,0.021,0.187,0.019,1.567,1.054,3.110,0.009,0.180,0.027,0.031,0.026,0.251,0.071,0.344,0.064,1.038
MIRC_L2.2026May01.rho_Ser.MIRCX_IDL.nc5.AVG10m.oifits,MYSTIC_L2.2026May01.rho_Ser.MIRCX_IDL.lbd_all.AVG10m.oifits,rho_Ser,2026-05-01,MIRCX+MYSTIC,3920.000,1.680,-0.170,1.196,3.377,0.004,5.124,0.966,3.279,0.009,3.275,0.008,16.669,1.131,3.386,0.004,0.280,0.008,0.193,0.005,1.387,1.121,3.328,0.018,1.242,0.501,3.462,1.907,0.264,0.146,0.121,0.089,1.249,1.128,3.349,0.003,0.347,0.012,0.232,0.007,1.375,1.135,3.364,0.005,0.210,0.030,0.219,0.040,0.236,0.057,0.067,0.081,1.043
MIRC_L2.2025Oct20.ups_Per.MIRCX_IDL.2025Dec14.AVG10m.oifits,MYSTIC_L2.2025Oct20.ups_Per.MIRCX_IDL.2025Dec14.AVG10m.oifits,ups_Per,2025-10-20,MIRCX+MYSTIC,4374.000,2.060,0.050,1.037,3.613,0.003,3.231,0.861,3.499,0.011,3.537,0.006,12.146,1.012,3.623,0.005,0.276,0.018,0.164,0.009,2.016,1.013,3.618,0.025,0.152,0.109,0.137,0.378,1.376,0.666,0.581,0.650,154.356,1.008,3.588,0.004,0.339,0.025,0.205,0.010,1.736,1.021,3.619,0.006,-0.020,0.033,0.144,0.019,0.630,0.056,0.198,0.049,1.413
MIRC_L2.2026Mar23.ksi_Dra.MIRCX_IDL.nc5_lbd_clean_2026Mar23.AVG15m.oifits,MYSTIC_L2.2026Mar23.ksi_Dra.MIRCX_IDL.nc5_lbd_clean_2026Mar24.AVG15m.oifits,ksi_Dra,2026-03-23,MIRCX+MYSTIC,4504.000,2.310,-0.010,1.113,3.077,0.001,1.055,0.919,2.989,0.009,3.003,0.006,4.704,1.099,3.092,0.003,0.261,0.011,0.182,0.008,1.115,1.087,3.104,0.090,0.000,0.242,-0.018,0.176,1.405,2.477,2.407,3.418,0.787,1.095,3.059,0.002,0.320,0.014,0.221,0.007,1.149,1.107,3.100,0.016,0.148,0.042,0.050,0.059,0.400,0.117,0.427,0.152,1.000
MIRC_L2.2026Mar23.bet_Dra.MIRCX_IDL.nc5_lbd_clean_2026Mar23.AVG15m.oifits,MYSTIC_L2.2026Mar23.bet_Dra.MIRCX_IDL.nc5_lbd_clean_2026Mar24.AVG15m.oifits,bet_Dra,2026-03-23,MIRCX+MYSTIC,5184.000,1.660,0.060,1.127,3.364,0.002,2.890,0.991,3.280,0.006,3.288,0.005,3.238,1.080,3.349,0.007,0.136,0.019,0.103,0.016,2.361,1.101,3.350,0.006,-0.432,0.000,0.204,0.024,0.568,0.000,0.607,0.048,82.029,1.073,3.321,0.004,0.179,0.018,0.127,0.012,2.151,1.077,3.338,0.006,0.051,0.040,0.058,0.032,0.233,0.048,0.174,0.040,2.296
MIRC_L2.2026Apr04.alf_CMi.MIRCX_IDL.Hband.AVG10m.oifits,MYSTIC_L2.2026Apr04.alf_CMi.MIRCX_IDL.2026Apr04_first.AVG10m.oifits,alf_CMi,2026-04-04,MIRCX+MYSTIC,6570.000,4.040,-0.040,1.095,5.467,0.004,3.629,0.922,5.367,0.006,5.370,0.005,4.411,1.032,5.449,0.004,0.130,0.011,0.085,0.006,2.223,1.033,5.407,0.007,0.517,0.468,1.594,0.658,0.277,0.153,0.095,0.025,1.054,1.035,5.411,0.004,0.189,0.014,0.119,0.009,2.477,1.034,5.412,0.005,0.093,0.046,0.116,0.023,0.130,0.057,-0.002,0.031,2.138
