oifits_h,oifits_k,target,date,instrument,teff,logg,feh,v2_0_SATLAS,theta_CLV_SATLAS,theta_CLV_SATLAS_err,chi2_red_SATLAS,v2_0_ud,theta_ud_H,theta_ud_H_err,theta_ud_K,theta_ud_K_err,chi2_red_ud,v2_0_PL,theta_PL,theta_PL_err,alpha_chara_H,alpha_chara_H_err,alpha_chara_K,alpha_chara_K_err,chi2_red_PL,v2_0_power2,theta_power2,theta_power2_err,alpha1_chara_H,alpha1_chara_H_err,alpha1_chara_K,alpha1_chara_K_err,p1_chara_H,p1_chara_H_err,p1_chara_K,p1_chara_K_err,chi2_red_power2,v2_0_linear,theta_linear,theta_linear_err,a_chara_H,a_chara_H_err,a_chara_K,a_chara_K_err,chi2_red_linear,v2_0_quadratic,theta_quadratic,theta_quadratic_err,u1_chara_H,u1_chara_H_err,u1_chara_K,u1_chara_K_err,u2_chara_H,u2_chara_H_err,u2_chara_K,u2_chara_K_err,chi2_red_quadratic
MIRC_L2.2026May01.alf_Vul.MIRCX_IDL.nc5.AVG10m.oifits,MYSTIC_L2.2026May01.alf_Vul.MIRCX_IDL.lbd_all.AVG10m.oifits,alf_Vul,2026-05-01,MIRCX+MYSTIC,3690.000,1.300,-0.380,1.101,4.346,0.004,1.555,0.901,4.202,0.062,4.243,0.011,10.210,1.065,4.360,0.006,0.333,0.015,0.194,0.017,0.960,1.063,4.345,0.031,0.432,0.336,0.214,0.222,0.745,0.452,0.788,0.582,482.637,1.055,4.312,0.004,0.406,0.021,0.230,0.017,0.796,1.067,4.346,0.007,0.275,0.045,0.131,0.026,0.263,0.049,0.232,0.039,0.939
MIRC_L2.2026May01.109_Her.MIRCX_IDL.nc5.AVG10m.oifits,MYSTIC_L2.2026May01.109_Her.MIRCX_IDL.lbd_all.AVG10m.oifits,109_Her,2026-05-01,MIRCX+MYSTIC,4387.000,2.240,-0.060,1.035,3.004,0.003,3.016,0.899,2.892,0.026,2.912,0.005,7.993,1.002,2.995,0.008,0.238,0.024,0.146,0.019,1.984,0.993,2.958,0.019,1.748,1.184,0.976,3.092,0.221,0.106,0.135,0.228,2.179,0.999,2.968,0.005,0.297,0.017,0.179,0.017,1.449,1.001,2.995,0.007,0.193,0.032,0.030,0.061,0.260,0.054,0.358,0.085,1.450
MIRC_L2.2026May01.del_Boo.MIRCX_IDL.nc5.AVG10m.oifits,MYSTIC_L2.2026May01.del_Boo.MIRCX_IDL.lbd_all.AVG10m.oifits,del_Boo,2026-05-01,MIRCX+MYSTIC,4880.000,2.480,-0.360,1.094,2.767,0.002,2.239,0.967,2.680,0.012,2.692,0.003,4.875,1.060,2.766,0.004,0.193,0.012,0.129,0.007,1.149,1.053,2.773,0.071,0.059,0.453,0.004,0.109,1.334,2.401,2.366,9.646,461.736,1.057,2.740,0.003,0.247,0.013,0.156,0.012,1.332,1.058,2.775,0.008,0.102,0.033,-0.091,0.038,0.379,0.079,0.558,0.079,1.284
MIRC_L2.2026May01.eta_Ser.MIRCX_IDL.nc5.AVG10m.oifits,MYSTIC_L2.2026May01.eta_Ser.MIRCX_IDL.lbd_all.AVG10m.oifits,eta_Ser,2026-05-01,MIRCX+MYSTIC,4948.000,3.180,-0.190,1.159,2.994,0.003,2.113,1.039,2.887,0.018,2.906,0.003,4.426,1.135,2.988,0.004,0.218,0.010,0.133,0.008,1.133,1.127,2.984,0.029,0.000,1.536,0.000,0.210,0.784,1.064,0.964,2.615,513.345,1.135,2.960,0.004,0.273,0.012,0.160,0.011,0.873,1.139,2.992,0.008,0.141,0.032,-0.019,0.035,0.323,0.067,0.417,0.087,1.082
MIRC_L2.2026May01.lam_Her.MIRCX_IDL.nc5.AVG10m.oifits,MYSTIC_L2.2026May01.lam_Her.MIRCX_IDL.lbd_all.AVG10m.oifits,lam_Her,2026-05-01,MIRCX+MYSTIC,4070.000,1.890,-0.040,1.093,3.126,0.002,1.607,0.938,3.021,0.014,3.023,0.006,7.794,1.054,3.114,0.005,0.255,0.016,0.153,0.011,1.616,1.048,3.184,0.060,0.092,0.108,0.040,0.039,3.126,1.837,4.177,2.545,1.378,1.055,3.084,0.005,0.323,0.018,0.192,0.014,1.679,1.064,3.115,0.011,0.210,0.030,0.025,0.027,0.277,0.071,0.394,0.070,1.222
MIRC_L2.2026May01.rho_Ser.MIRCX_IDL.nc5.AVG10m.oifits,MYSTIC_L2.2026May01.rho_Ser.MIRCX_IDL.lbd_all.AVG10m.oifits,rho_Ser,2026-05-01,MIRCX+MYSTIC,3920.000,1.680,-0.170,1.197,3.379,0.002,4.068,0.965,3.260,0.012,3.274,0.008,12.076,1.139,3.392,0.004,0.301,0.008,0.204,0.007,2.001,1.125,3.325,0.024,-0.415,0.000,4.231,2.640,0.801,0.000,0.116,0.132,115.432,1.130,3.354,0.005,0.369,0.007,0.240,0.009,1.870,1.138,3.365,0.005,0.238,0.041,0.230,0.044,0.225,0.060,0.053,0.083,2.108
MIRC_L2.2025Oct20.ups_Per.MIRCX_IDL.2025Dec14.AVG10m.oifits,MYSTIC_L2.2025Oct20.ups_Per.MIRCX_IDL.2025Dec14.AVG10m.oifits,ups_Per,2025-10-20,MIRCX+MYSTIC,4374.000,2.060,0.050,1.035,3.613,0.003,2.945,0.871,3.502,0.012,3.537,0.005,11.215,1.017,3.628,0.004,0.336,0.020,0.175,0.007,1.683,1.017,3.638,0.050,0.105,0.337,0.000,0.244,1.894,2.473,1.030,2.299,102.997,1.017,3.591,0.003,0.412,0.019,0.214,0.010,1.500,1.025,3.621,0.006,0.022,0.074,0.140,0.022,0.620,0.084,0.206,0.047,1.214
MIRC_L2.2026Mar23.ksi_Dra.MIRCX_IDL.nc5_lbd_clean_2026Mar23.AVG15m.oifits,MYSTIC_L2.2026Mar23.ksi_Dra.MIRCX_IDL.nc5_lbd_clean_2026Mar24.AVG15m.oifits,ksi_Dra,2026-03-23,MIRCX+MYSTIC,4504.000,2.310,-0.010,1.117,3.075,0.002,0.992,0.922,2.990,0.009,3.002,0.006,5.203,1.116,3.096,0.003,0.291,0.006,0.196,0.007,0.921,1.112,3.097,0.046,0.229,0.261,0.060,0.168,1.214,1.069,1.385,1.801,197.869,1.113,3.062,0.002,0.358,0.012,0.231,0.009,0.763,1.115,3.088,0.013,0.226,0.025,0.112,0.042,0.276,0.072,0.273,0.107,0.928
MIRC_L2.2026Mar23.bet_Dra.MIRCX_IDL.nc5_lbd_clean_2026Mar23.AVG15m.oifits,MYSTIC_L2.2026Mar23.bet_Dra.MIRCX_IDL.nc5_lbd_clean_2026Mar24.AVG15m.oifits,bet_Dra,2026-03-23,MIRCX+MYSTIC,5184.000,1.660,0.060,1.143,3.363,0.003,2.723,0.991,3.274,0.009,3.288,0.006,4.079,1.100,3.355,0.005,0.166,0.018,0.118,0.012,1.360,1.092,3.314,0.013,1.002,1.419,3.376,5.448,0.192,0.102,0.082,0.028,1.442,1.100,3.326,0.004,0.218,0.025,0.147,0.011,1.549,1.101,3.341,0.007,0.080,0.075,0.097,0.033,0.232,0.086,0.129,0.061,1.913
MIRC_L2.2026Apr04.alf_CMi.MIRCX_IDL.Hband.AVG10m.oifits,MYSTIC_L2.2026Apr04.alf_CMi.MIRCX_IDL.2026Apr04_first.AVG10m.oifits,alf_CMi,2026-04-04,MIRCX+MYSTIC,6570.000,4.040,-0.040,1.095,5.465,0.005,2.304,0.916,5.357,0.002,5.370,0.006,4.753,1.025,5.444,0.004,0.121,0.009,0.079,0.006,1.459,1.028,5.410,0.009,0.166,0.093,1.297,0.760,0.633,0.236,0.104,0.034,2.544,1.026,5.407,0.004,0.172,0.012,0.107,0.007,2.625,1.028,5.408,0.005,0.021,0.047,0.123,0.018,0.199,0.056,-0.019,0.035,1.689
