oifits_h,oifits_k,target,date,instrument,teff,logg,feh,v2_0_SATLAS,theta_CLV_SATLAS,theta_CLV_SATLAS_err,chi2_red_SATLAS,v2_0_ud,theta_ud_H,theta_ud_H_err,theta_ud_K,theta_ud_K_err,chi2_red_ud,v2_0_PL,theta_PL,theta_PL_err,alpha_chara_H,alpha_chara_H_err,alpha_chara_K,alpha_chara_K_err,chi2_red_PL,v2_0_power2,theta_power2,theta_power2_err,alpha1_chara_H,alpha1_chara_H_err,alpha1_chara_K,alpha1_chara_K_err,p1_chara_H,p1_chara_H_err,p1_chara_K,p1_chara_K_err,chi2_red_power2,v2_0_linear,theta_linear,theta_linear_err,a_chara_H,a_chara_H_err,a_chara_K,a_chara_K_err,chi2_red_linear,v2_0_quadratic,theta_quadratic,theta_quadratic_err,u1_chara_H,u1_chara_H_err,u1_chara_K,u1_chara_K_err,u2_chara_H,u2_chara_H_err,u2_chara_K,u2_chara_K_err,chi2_red_quadratic
MIRC_L2.2026May01.alf_Vul.MIRCX_IDL.nc5.AVG10m.oifits,MYSTIC_L2.2026May01.alf_Vul.MIRCX_IDL.lbd_all.AVG10m.oifits,alf_Vul,2026-05-01,MIRCX+MYSTIC,3690.000,1.300,-0.380,1.094,4.345,0.006,1.541,0.895,4.197,0.019,4.241,0.010,12.029,1.049,4.353,0.007,0.314,0.013,0.176,0.013,0.994,1.037,4.365,0.141,0.071,0.323,0.000,0.374,1.857,2.333,0.991,2.604,11.411,1.043,4.307,0.005,0.394,0.009,0.211,0.019,0.965,1.057,4.342,0.008,0.182,0.033,0.124,0.030,0.381,0.057,0.232,0.043,0.830
MIRC_L2.2026May01.109_Her.MIRCX_IDL.nc5.AVG10m.oifits,MYSTIC_L2.2026May01.109_Her.MIRCX_IDL.lbd_all.AVG10m.oifits,109_Her,2026-05-01,MIRCX+MYSTIC,4387.000,2.240,-0.060,1.028,3.008,0.003,2.776,0.901,2.892,0.013,2.914,0.004,6.983,0.998,2.999,0.006,0.233,0.015,0.149,0.015,1.914,0.992,2.957,0.013,1.748,0.807,1.459,2.970,0.195,0.083,0.107,0.052,1.545,0.996,2.973,0.006,0.297,0.018,0.182,0.019,1.604,0.995,2.996,0.008,0.184,0.042,0.043,0.041,0.249,0.069,0.307,0.076,1.392
MIRC_L2.2026May01.del_Boo.MIRCX_IDL.nc5.AVG10m.oifits,MYSTIC_L2.2026May01.del_Boo.MIRCX_IDL.lbd_all.AVG10m.oifits,del_Boo,2026-05-01,MIRCX+MYSTIC,4880.000,2.480,-0.360,1.087,2.769,0.001,1.548,0.963,2.689,0.007,2.693,0.003,4.225,1.050,2.768,0.004,0.190,0.010,0.133,0.009,1.301,1.047,2.771,0.074,-0.049,0.308,0.000,0.308,1.462,3.144,2.123,3.551,560.792,1.049,2.742,0.005,0.238,0.013,0.159,0.015,1.090,1.053,2.775,0.007,0.066,0.027,-0.055,0.032,0.390,0.064,0.482,0.084,1.192
MIRC_L2.2026May01.eta_Ser.MIRCX_IDL.nc5.AVG10m.oifits,MYSTIC_L2.2026May01.eta_Ser.MIRCX_IDL.lbd_all.AVG10m.oifits,eta_Ser,2026-05-01,MIRCX+MYSTIC,4948.000,3.180,-0.190,1.163,2.995,0.002,2.186,1.034,2.882,0.009,2.907,0.003,5.898,1.130,2.984,0.004,0.197,0.012,0.126,0.007,1.233,1.125,2.940,0.007,1.961,0.745,7.744,13.364,0.148,0.038,0.082,0.027,0.743,1.130,2.958,0.003,0.251,0.010,0.157,0.009,0.867,1.132,2.976,0.006,0.127,0.040,0.083,0.026,0.239,0.079,0.181,0.050,0.689
MIRC_L2.2026May01.lam_Her.MIRCX_IDL.nc5.AVG10m.oifits,MYSTIC_L2.2026May01.lam_Her.MIRCX_IDL.lbd_all.AVG10m.oifits,lam_Her,2026-05-01,MIRCX+MYSTIC,4070.000,1.890,-0.040,1.092,3.127,0.002,1.021,0.931,3.020,0.018,3.022,0.006,7.737,1.059,3.121,0.005,0.252,0.019,0.169,0.013,1.125,1.057,3.176,0.047,0.100,0.054,0.051,0.031,2.689,1.430,3.415,1.865,1.114,1.052,3.088,0.004,0.311,0.017,0.201,0.012,1.022,1.056,3.115,0.010,0.201,0.027,0.048,0.030,0.266,0.067,0.346,0.074,0.811
MIRC_L2.2026May01.rho_Ser.MIRCX_IDL.nc5.AVG10m.oifits,MYSTIC_L2.2026May01.rho_Ser.MIRCX_IDL.lbd_all.AVG10m.oifits,rho_Ser,2026-05-01,MIRCX+MYSTIC,3920.000,1.680,-0.170,1.184,3.377,0.003,3.345,0.968,3.275,0.008,3.283,0.010,12.978,1.122,3.389,0.004,0.291,0.006,0.196,0.006,1.313,1.121,3.389,0.003,-0.312,0.000,0.268,0.028,0.750,0.000,0.772,0.078,145.111,1.116,3.352,0.002,0.358,0.008,0.234,0.009,1.462,1.124,3.373,0.005,0.170,0.045,0.195,0.016,0.327,0.081,0.137,0.035,0.850
MIRC_L2.2025Oct20.ups_Per.MIRCX_IDL.2025Dec14.AVG10m.oifits,MYSTIC_L2.2025Oct20.ups_Per.MIRCX_IDL.2025Dec14.AVG10m.oifits,ups_Per,2025-10-20,MIRCX+MYSTIC,4374.000,2.060,0.050,1.036,3.613,0.005,2.391,0.858,3.503,0.013,3.532,0.009,12.156,1.015,3.625,0.005,0.303,0.017,0.169,0.010,2.492,1.018,3.615,0.031,0.160,0.105,0.000,0.639,1.370,1.098,0.399,0.663,442.041,1.018,3.589,0.004,0.383,0.021,0.211,0.011,2.253,1.026,3.620,0.007,-0.029,0.077,0.168,0.036,0.684,0.099,0.176,0.060,1.022
MIRC_L2.2026Mar23.ksi_Dra.MIRCX_IDL.nc5_lbd_clean_2026Mar23.AVG15m.oifits,MYSTIC_L2.2026Mar23.ksi_Dra.MIRCX_IDL.nc5_lbd_clean_2026Mar24.AVG15m.oifits,ksi_Dra,2026-03-23,MIRCX+MYSTIC,4504.000,2.310,-0.010,1.101,3.077,0.002,1.167,0.902,2.986,0.006,2.998,0.004,6.495,1.099,3.098,0.005,0.279,0.015,0.196,0.010,1.252,1.092,3.109,0.131,0.000,0.379,0.000,0.300,1.564,2.547,1.787,3.588,299.984,1.096,3.063,0.004,0.344,0.017,0.232,0.009,0.836,1.106,3.096,0.014,0.173,0.037,0.118,0.043,0.352,0.112,0.316,0.117,0.794
MIRC_L2.2026Mar23.bet_Dra.MIRCX_IDL.nc5_lbd_clean_2026Mar23.AVG15m.oifits,MYSTIC_L2.2026Mar23.bet_Dra.MIRCX_IDL.nc5_lbd_clean_2026Mar24.AVG15m.oifits,bet_Dra,2026-03-23,MIRCX+MYSTIC,5184.000,1.660,0.060,1.130,3.363,0.002,2.032,0.984,3.279,0.007,3.289,0.008,5.234,1.090,3.356,0.005,0.153,0.020,0.123,0.013,1.686,1.087,3.330,0.018,0.207,0.498,1.250,2.038,0.329,0.362,0.154,0.150,1.573,1.086,3.327,0.006,0.208,0.024,0.155,0.018,1.417,1.100,3.347,0.007,0.059,0.060,0.116,0.031,0.272,0.079,0.138,0.060,1.206
MIRC_L2.2026Apr04.alf_CMi.MIRCX_IDL.Hband.AVG10m.oifits,MYSTIC_L2.2026Apr04.alf_CMi.MIRCX_IDL.2026Apr04_first.AVG10m.oifits,alf_CMi,2026-04-04,MIRCX+MYSTIC,6570.000,4.040,-0.040,1.080,5.462,0.005,4.960,0.917,5.364,0.006,5.366,0.007,2.490,1.021,5.444,0.005,0.124,0.011,0.079,0.006,3.875,1.023,5.408,0.009,0.412,0.438,1.267,0.862,0.281,0.229,0.098,0.034,2.931,1.021,5.406,0.004,0.178,0.014,0.107,0.008,1.811,1.021,5.407,0.006,0.115,0.030,0.122,0.023,0.084,0.041,-0.020,0.041,3.361
