oifits_h,oifits_k,target,date,instrument,teff,logg,feh,v2_0_SATLAS,theta_CLV_SATLAS,theta_CLV_SATLAS_err,chi2_red_SATLAS,v2_0_ud,theta_ud_H,theta_ud_H_err,theta_ud_K,theta_ud_K_err,chi2_red_ud,v2_0_PL,theta_PL,theta_PL_err,alpha_chara_H,alpha_chara_H_err,alpha_chara_K,alpha_chara_K_err,chi2_red_PL,v2_0_power2,theta_power2,theta_power2_err,alpha1_chara_H,alpha1_chara_H_err,alpha1_chara_K,alpha1_chara_K_err,p1_chara_H,p1_chara_H_err,p1_chara_K,p1_chara_K_err,chi2_red_power2,v2_0_linear,theta_linear,theta_linear_err,a_chara_H,a_chara_H_err,a_chara_K,a_chara_K_err,chi2_red_linear,v2_0_quadratic,theta_quadratic,theta_quadratic_err,u1_chara_H,u1_chara_H_err,u1_chara_K,u1_chara_K_err,u2_chara_H,u2_chara_H_err,u2_chara_K,u2_chara_K_err,chi2_red_quadratic
MIRC_L2.2026May01.alf_Vul.MIRCX_IDL.nc5.AVG10m.oifits,MYSTIC_L2.2026May01.alf_Vul.MIRCX_IDL.lbd_all.AVG10m.oifits,alf_Vul,2026-05-01,MIRCX+MYSTIC,3690.000,1.300,-0.380,1.101,4.342,0.002,1.312,0.892,4.200,0.027,4.243,0.008,9.913,1.075,4.360,0.006,0.321,0.010,0.203,0.015,1.147,0.979,4.279,0.248,0.000,0.981,-0.177,0.474,0.651,3.565,2.026,5.091,294.859,1.073,4.314,0.008,0.399,0.016,0.250,0.026,1.311,1.076,4.351,0.014,0.198,0.032,0.123,0.020,0.365,0.055,0.274,0.048,1.129
MIRC_L2.2026May01.109_Her.MIRCX_IDL.nc5.AVG10m.oifits,MYSTIC_L2.2026May01.109_Her.MIRCX_IDL.lbd_all.AVG10m.oifits,109_Her,2026-05-01,MIRCX+MYSTIC,4387.000,2.240,-0.060,1.031,2.998,0.002,3.660,0.888,2.892,0.014,2.906,0.006,6.731,1.004,2.999,0.007,0.229,0.016,0.163,0.015,1.406,0.996,2.958,0.013,1.777,0.885,1.084,2.308,0.201,0.056,0.161,0.329,1.495,1.003,2.967,0.007,0.286,0.020,0.189,0.018,1.651,1.008,2.995,0.007,0.196,0.039,0.028,0.062,0.239,0.055,0.364,0.098,1.373
MIRC_L2.2026May01.del_Boo.MIRCX_IDL.nc5.AVG10m.oifits,MYSTIC_L2.2026May01.del_Boo.MIRCX_IDL.lbd_all.AVG10m.oifits,del_Boo,2026-05-01,MIRCX+MYSTIC,4880.000,2.480,-0.360,1.105,2.765,0.001,1.864,0.969,2.687,0.011,2.692,0.005,5.978,1.072,2.769,0.005,0.195,0.012,0.141,0.012,1.626,1.058,2.780,0.069,-0.016,0.251,0.000,0.065,1.584,2.167,2.027,3.496,82.336,1.067,2.742,0.004,0.241,0.013,0.168,0.013,1.281,1.075,2.778,0.006,0.101,0.032,-0.069,0.034,0.363,0.070,0.519,0.058,1.315
MIRC_L2.2026May01.eta_Ser.MIRCX_IDL.nc5.AVG10m.oifits,MYSTIC_L2.2026May01.eta_Ser.MIRCX_IDL.lbd_all.AVG10m.oifits,eta_Ser,2026-05-01,MIRCX+MYSTIC,4948.000,3.180,-0.190,1.177,2.991,0.003,2.266,1.046,2.883,0.008,2.905,0.004,6.788,1.148,2.983,0.004,0.194,0.012,0.128,0.010,1.784,1.139,2.946,0.010,1.665,0.832,1.372,1.352,0.174,0.040,0.113,0.057,1.175,1.143,2.953,0.006,0.237,0.019,0.148,0.016,1.243,1.151,2.976,0.007,0.150,0.051,0.030,0.050,0.212,0.079,0.273,0.089,1.215
MIRC_L2.2026May01.lam_Her.MIRCX_IDL.nc5.AVG10m.oifits,MYSTIC_L2.2026May01.lam_Her.MIRCX_IDL.lbd_all.AVG10m.oifits,lam_Her,2026-05-01,MIRCX+MYSTIC,4070.000,1.890,-0.040,1.092,3.121,0.003,2.674,0.919,3.013,0.015,3.024,0.006,4.629,1.052,3.112,0.007,0.232,0.017,0.157,0.014,2.180,1.036,3.116,0.078,0.065,0.578,0.051,0.156,0.934,1.510,1.229,3.565,1.458,1.047,3.081,0.005,0.292,0.019,0.186,0.019,1.634,1.058,3.117,0.010,0.179,0.044,0.002,0.033,0.292,0.068,0.424,0.065,1.271
MIRC_L2.2026May01.rho_Ser.MIRCX_IDL.nc5.AVG10m.oifits,MYSTIC_L2.2026May01.rho_Ser.MIRCX_IDL.lbd_all.AVG10m.oifits,rho_Ser,2026-05-01,MIRCX+MYSTIC,3920.000,1.680,-0.170,1.220,3.375,0.003,3.577,0.983,3.274,0.011,3.276,0.009,13.884,1.149,3.384,0.003,0.277,0.010,0.193,0.007,2.036,1.144,3.506,0.071,-0.669,0.000,0.048,0.058,0.896,0.000,5.000,2.341,139.362,1.144,3.346,0.004,0.346,0.016,0.227,0.011,1.081,1.150,3.363,0.007,0.226,0.035,0.199,0.043,0.214,0.055,0.102,0.095,1.262
MIRC_L2.2025Oct20.ups_Per.MIRCX_IDL.2025Dec14.AVG10m.oifits,MYSTIC_L2.2025Oct20.ups_Per.MIRCX_IDL.2025Dec14.AVG10m.oifits,ups_Per,2025-10-20,MIRCX+MYSTIC,4374.000,2.060,0.050,1.033,3.606,0.003,2.786,0.866,3.509,0.013,3.540,0.005,11.790,1.021,3.619,0.006,0.299,0.014,0.161,0.011,2.326,1.016,3.630,0.048,0.039,0.259,0.000,0.332,1.550,2.141,0.128,1.305,1.339,1.019,3.581,0.004,0.376,0.020,0.202,0.018,2.116,1.030,3.618,0.009,-0.017,0.083,0.132,0.039,0.646,0.103,0.226,0.072,1.155
MIRC_L2.2026Mar23.ksi_Dra.MIRCX_IDL.nc5_lbd_clean_2026Mar23.AVG15m.oifits,MYSTIC_L2.2026Mar23.ksi_Dra.MIRCX_IDL.nc5_lbd_clean_2026Mar24.AVG15m.oifits,ksi_Dra,2026-03-23,MIRCX+MYSTIC,4504.000,2.310,-0.010,1.113,3.073,0.001,1.235,0.906,2.985,0.010,3.007,0.007,5.737,1.115,3.094,0.003,0.274,0.010,0.195,0.009,1.009,1.111,3.130,0.058,0.113,0.141,0.044,0.044,1.660,1.362,3.332,2.862,91.792,1.112,3.058,0.003,0.336,0.019,0.224,0.014,1.134,1.124,3.096,0.015,0.194,0.039,0.054,0.055,0.336,0.102,0.403,0.141,0.678
MIRC_L2.2026Mar23.bet_Dra.MIRCX_IDL.nc5_lbd_clean_2026Mar23.AVG15m.oifits,MYSTIC_L2.2026Mar23.bet_Dra.MIRCX_IDL.nc5_lbd_clean_2026Mar24.AVG15m.oifits,bet_Dra,2026-03-23,MIRCX+MYSTIC,5184.000,1.660,0.060,1.152,3.361,0.002,2.081,1.000,3.280,0.007,3.287,0.005,4.511,1.100,3.348,0.006,0.142,0.021,0.106,0.016,1.946,1.093,3.357,0.181,0.000,0.377,-0.028,0.245,1.146,2.779,1.599,2.802,36.866,1.098,3.319,0.005,0.191,0.029,0.129,0.023,1.656,1.105,3.338,0.006,0.084,0.052,0.036,0.034,0.210,0.043,0.215,0.047,1.640
MIRC_L2.2026Apr04.alf_CMi.MIRCX_IDL.Hband.AVG10m.oifits,MYSTIC_L2.2026Apr04.alf_CMi.MIRCX_IDL.2026Apr04_first.AVG10m.oifits,alf_CMi,2026-04-04,MIRCX+MYSTIC,6570.000,4.040,-0.040,1.089,5.459,0.002,2.396,0.920,5.366,0.004,5.375,0.006,4.664,1.039,5.450,0.004,0.137,0.009,0.092,0.007,1.708,1.042,5.402,0.006,1.113,0.469,2.088,0.396,0.187,0.058,0.091,0.013,1.483,1.041,5.410,0.003,0.198,0.010,0.127,0.007,1.383,1.041,5.408,0.004,0.158,0.054,0.149,0.014,0.061,0.052,-0.036,0.024,1.190
