target,target_norm,hd,SpectralType,date,oifits_h,oifits_k,teff,logg,feh,theta_init,mass,cite_key,cite_key_target_specific,mass_reference_source
del And,del_and,3627,K3III,2025-09-07,MIRCX_L2.2025Sep07.del_And.MIRCX_IDL.2025Sep10_Narsi.AVG10m.oifits,MYSTIC_L2.2025Sep07.del_And.MIRCX_IDL.2025Sep08_Narsi.AVG10m.oifits,4347.0,2.04,0.21,4.528876,1.3,2015ApJ...809...11B,delAnd_Bottom2015,Bottom2015
alf Cas,alf_cas,3712,K0IIICN+1,2025-07-20,MIRCX_L2.2025Jul20.alf_Cas.MIRCX_IDL.2025Jul22.AVG15m.oifits,MYSTIC_L2.2025Jul20.alf_Cas.MIRCX_IDL.2025Jul25.AVG15m.oifits,4625.0,1.19,-0.1,5.789029,4.98,2026MNRAS.547ag413R,alfCas_Rudrasingam2026,Rudrasingam2026
ups Per,ups_per,9927,K3-III,2025-07-20,MIRC_L2.2025Oct20.ups_Per.MIRCX_IDL.2025Dec14.AVG10m.oifits,MYSTIC_L2.2025Oct20.ups_Per.MIRCX_IDL.2025Dec14.AVG10m.oifits,4374.0,2.06,0.05,3.930584,1.75,2008AJ....135..209M,Massarotti2008,Massarotti2008
alf Per,alf_per,20902,F5Ib,2025-07-25,MIRCX_L2.2025Jul25.alf_Per.MIRCX_IDL.2025Jul25.AVG15m.oifits,MYSTIC_L2.2025Jul25.alf_Per.MIRCX_IDL.2025Jul26.AVG15m.oifits,6193.0,1.02,0.14,3.347016,6.5,2025arXiv250700282W,alfPer_Wade2025,Wade2025
sig Per,sig_per,21552,K3III,2025-08-27,MIRCX_L2.2025Aug27.sig_Per.MIRCX_IDL.2025Aug28.AVG10m.oifits,MYSTIC_L2.2025Aug27.sig_Per.MIRCX_IDL.2025Aug28.AVG10m.oifits,4159.0,1.6,-0.23,3.275167,1.32,2008AJ....135..209M,Massarotti2008,Massarotti2008
gam Tau,gam_tau,27371,G9.5IIIabCN0.5,2025-09-07,MIRCX_L2.2025Sep07.gam_Tau.MIRCX_IDL.2025Sep10_Narsi.AVG10m.oifits,MYSTIC_L2.2025Sep07.gam_Tau.MIRCX_IDL.2025Sep08_Narsi.AVG10m.oifits,5124.0,2.63,0.12,2.507196,2.7,2006A&A...458..609D,gamTau_daSilva2006,daSilva2006
eps Tau,eps_tau,28305,K0III,2025-09-07,MIRCX_L2.2025Sep07.eps_Tau.MIRCX_IDL.2025Sep10_Narsi.AVG10m.oifits,MYSTIC_L2.2025Sep07.eps_Tau.MIRCX_IDL.2025Sep08_Narsi.AVG10m.oifits,4921.0,2.47,0.14,2.727019,2.458,2019A&A...622A.190A,epsTau_Arentoft2019,Arentoft2019
phi02 Ori,phi02_ori,37160,G9IV,2025-09-07,MIRCX_L2.2025Sep07.phi02_Ori.MIRCX_IDL.2025Sep10_Narsi.AVG10m.oifits,MYSTIC_L2.2025Sep07.phi02_Ori.MIRCX_IDL.2025Sep08_Narsi.AVG10m.oifits,4823.0,2.61,-0.54,2.15197,1.07,1999A&A...352..555A,AllendePrieto1999,AllendePrieto1999
ups Aur,ups_aur,38944,M0III,2025-08-27,MIRCX_L2.2025Aug27.ups_Aur.MIRCX_IDL.2025Aug28.AVG10m.oifits,MYSTIC_L2.2025Aug27.ups_Aur.MIRCX_IDL.2025Aug28.AVG10m.oifits,3912.0,1.16,-0.23,4.364726,1.64,2018AJ....155...30B,Baines2018,Baines2018
eps Gem,eps_gem,48329,G8Ib,2025-09-09,MIRC_L2.2025Sep09.eps_Gem.MIRCX_IDL.2025Sep10_Narsi.AVG10m.oifits,MYSTIC_L2.2025Sep09.eps_Gem.MIRCX_IDL.2025Sep10_Narsi.AVG10m.oifits,4315.0,0.76,0.11,4.709305,5.29,2018AJ....155...30B,Baines2018,Baines2018
