target,label,date,instrument,band,grid,Teff,logg,M_H,mu_limb,mu_grid_n,law,source,metric_kind,D,D_mu,D_limb,D_limb_mu
alf_Vul,alf_Vul_MIRCX+MYSTIC_2026-05-01,,,H,satlasross,3690.0,1.3,-0.38,0.3,201,linear,chara,to_model_clv,0.04908973338132263,0.016463195017717477,0.048180624766569494,0.014898891636021693
alf_Vul,alf_Vul_MIRCX+MYSTIC_2026-05-01,,,H,satlasross,3690.0,1.3,-0.38,0.3,201,power1,chara,to_model_clv,0.03662142421163268,0.008922877030577503,0.03637293520270445,0.008500799854731749
alf_Vul,alf_Vul_MIRCX+MYSTIC_2026-05-01,,,H,satlasross,3690.0,1.3,-0.38,0.3,201,power2,chara,to_model_clv,0.021672407038475092,0.004637079867536559,0.021596889335332124,0.00446427875386728
alf_Vul,alf_Vul_MIRCX+MYSTIC_2026-05-01,,,H,satlasross,3690.0,1.3,-0.38,0.3,201,quadratic,chara,to_model_clv,0.01219913786920312,0.007303803869673849,0.009387596679120305,0.003754069614007046
alf_Vul,alf_Vul_MIRCX+MYSTIC_2026-05-01,,,H,satlasross,3690.0,1.3,-0.38,0.3,201,model_clv,model,to_chara_power1,0.03662142421163268,0.008922877030577503,0.03637293520270445,0.008500799854731749
alf_Vul,alf_Vul_MIRCX+MYSTIC_2026-05-01,,,H,satlasross,3690.0,1.3,-0.38,0.3,201,linear,model,to_chara_power1,0.06873892440810049,0.020696029338638133,0.06723986745211077,0.0172187255837788
alf_Vul,alf_Vul_MIRCX+MYSTIC_2026-05-01,,,H,satlasross,3690.0,1.3,-0.38,0.3,201,linear,chara,to_chara_power1,0.08370282551255975,0.02429842806876504,0.08293861764146311,0.023083108783852474
alf_Vul,alf_Vul_MIRCX+MYSTIC_2026-05-01,,,H,satlasross,3690.0,1.3,-0.38,0.3,201,power2,model,to_chara_power1,0.03181195825673318,0.008927506959625246,0.03152887887044936,0.00854907638166208
alf_Vul,alf_Vul_MIRCX+MYSTIC_2026-05-01,,,H,satlasross,3690.0,1.3,-0.38,0.3,201,power2,chara,to_chara_power1,0.015532400255175664,0.0045219415595613086,0.015312854305660886,0.004232399824074285
alf_Vul,alf_Vul_MIRCX+MYSTIC_2026-05-01,,,H,satlasross,3690.0,1.3,-0.38,0.3,201,quadratic,model,to_chara_power1,0.04169240711338569,0.010164862482729633,0.041500907566986316,0.009606291541780504
alf_Vul,alf_Vul_MIRCX+MYSTIC_2026-05-01,,,H,satlasross,3690.0,1.3,-0.38,0.3,201,quadratic,chara,to_chara_power1,0.030987978950172475,0.009056056762053734,0.029985330706866827,0.006127956811357132
alf_Vul,alf_Vul_MIRCX+MYSTIC_2026-05-01,,,K,satlasross,3690.0,1.3,-0.38,0.3,201,linear,chara,to_model_clv,0.07483239974724701,0.027970590858166743,0.0710857520814546,0.023768896053901388
alf_Vul,alf_Vul_MIRCX+MYSTIC_2026-05-01,,,K,satlasross,3690.0,1.3,-0.38,0.3,201,power1,chara,to_model_clv,0.024231528392409978,0.010769117876909016,0.0201450033595023,0.0052860545799256016
alf_Vul,alf_Vul_MIRCX+MYSTIC_2026-05-01,,,K,satlasross,3690.0,1.3,-0.38,0.3,201,power2,chara,to_model_clv,0.022828797893695286,0.012319949562987908,0.01729101786699333,0.006962605475649077
alf_Vul,alf_Vul_MIRCX+MYSTIC_2026-05-01,,,K,satlasross,3690.0,1.3,-0.38,0.3,201,quadratic,chara,to_model_clv,0.018502495543124792,0.01130979810570387,0.01276420624145151,0.004227642254810814
alf_Vul,alf_Vul_MIRCX+MYSTIC_2026-05-01,,,K,satlasross,3690.0,1.3,-0.38,0.3,201,model_clv,model,to_chara_power1,0.024231528392409978,0.010769117876909016,0.0201450033595023,0.0052860545799256016
alf_Vul,alf_Vul_MIRCX+MYSTIC_2026-05-01,,,K,satlasross,3690.0,1.3,-0.38,0.3,201,linear,model,to_chara_power1,0.048983853624122664,0.02185877171841862,0.041125138599099394,0.008985171155363524
alf_Vul,alf_Vul_MIRCX+MYSTIC_2026-05-01,,,K,satlasross,3690.0,1.3,-0.38,0.3,201,linear,chara,to_chara_power1,0.07891166760053996,0.02308119031890171,0.07799638574386357,0.021890571999257463
alf_Vul,alf_Vul_MIRCX+MYSTIC_2026-05-01,,,K,satlasross,3690.0,1.3,-0.38,0.3,201,power2,model,to_chara_power1,0.01983553680691522,0.011131202485247241,0.013499146994437744,0.004072717915009226
alf_Vul,alf_Vul_MIRCX+MYSTIC_2026-05-01,,,K,satlasross,3690.0,1.3,-0.38,0.3,201,power2,chara,to_chara_power1,0.014521317485202174,0.0039024101628157355,0.014408242870339791,0.0037463242809520946
